user_id,item_id,rating
1,28,2
1,16,4
1,24,4
1,18,3
1,9,4
1,10,4
1,29,1
1,25,3
1,13,5
1,1,3
2,24,2
2,16,2
2,5,4
2,22,2
2,10,2
2,23,4
2,6,4
2,11,1
2,17,5
2,19,5
3,19,1
3,4,4
3,6,1
3,2,4
3,5,2
3,10,1
3,28,5
3,30,3
3,16,4
3,14,3
4,2,3
4,17,5
4,11,4
4,21,5
4,8,3
4,6,3
4,19,4
4,22,2
4,4,2
4,23,5
5,15,1
5,14,2
5,19,4
5,16,4
5,10,2
5,29,3
5,4,1
5,2,5
5,17,1
5,24,1
6,16,4
6,10,3
6,21,5
6,9,3
6,3,4
6,13,4
6,20,3
6,29,4
6,24,3
6,14,2
7,14,1
7,15,1
7,16,3
7,26,3
7,5,3
7,21,4
7,6,1
7,13,4
7,2,3
7,29,1
8,28,4
8,19,3
8,10,3
8,15,5
8,11,3
8,26,3
8,7,3
8,27,2
8,12,5
8,5,1
9,2,3
9,29,2
9,10,1
9,13,2
9,18,2
9,11,3
9,7,2
9,24,2
9,26,3
9,21,2
10,30,4
10,15,2
10,5,2
10,19,3
10,24,1
10,14,2
10,6,5
10,28,2
10,27,2
10,29,1
11,19,1
11,23,3
11,25,4
11,27,2
11,9,2
11,2,5
11,18,2
11,29,5
11,14,1
11,26,4
12,4,1
12,9,4
12,12,5
12,24,4
12,30,2
12,19,2
12,20,5
12,14,4
12,11,1
12,10,5
13,14,3
13,6,3
13,21,5
13,12,4
13,9,3
13,3,1
13,18,1
13,27,2
13,15,3
13,17,4
14,22,3
14,23,1
14,6,3
14,30,4
14,15,2
14,1,1
14,28,5
14,27,4
14,24,1
14,16,5
15,10,3
15,8,5
15,1,4
15,30,5
15,6,1
15,5,5
15,11,5
15,2,2
15,14,2
15,18,2
16,20,4
16,25,1
16,1,1
16,4,5
16,29,4
16,19,4
16,16,4
16,30,3
16,26,5
16,24,4
17,15,5
17,17,5
17,28,5
17,4,5
17,2,3
17,5,4
17,6,5
17,11,4
17,25,3
17,14,3
18,28,4
18,30,3
18,22,1
18,24,1
18,7,1
18,26,5
18,19,4
18,2,5
18,4,4
18,13,5
19,8,1
19,29,3
19,4,1
19,12,5
19,25,4
19,7,1
19,28,5
19,16,5
19,9,3
19,21,5
20,3,3
20,12,2
20,15,4
20,27,1
20,6,4
20,20,5
20,25,3
20,7,1
20,11,1
20,2,5
21,26,1
21,29,4
21,12,4
21,17,5
21,16,2
21,27,5
21,5,2
21,13,5
21,3,3
21,10,3
22,21,5
22,1,1
22,6,5
22,17,1
22,12,4
22,7,2
22,5,2
22,27,1
22,13,2
22,10,5
23,21,3
23,14,3
23,23,3
23,12,4
23,29,5
23,5,2
23,2,2
23,24,3
23,7,3
23,10,1
24,11,4
24,29,2
24,30,2
24,20,3
24,16,3
24,21,5
24,1,5
24,15,1
24,8,1
24,14,5
25,18,3
25,10,2
25,7,3
25,13,5
25,29,4
25,25,5
25,1,2
25,30,4
25,14,3
25,12,4
26,27,1
26,26,1
26,19,3
26,28,3
26,16,1
26,29,5
26,9,4
26,18,4
26,24,2
26,7,5
27,7,3
27,19,5
27,10,1
27,6,1
27,21,1
27,27,1
27,20,1
27,23,2
27,4,5
27,15,3
28,12,2
28,26,1
28,23,5
28,22,4
28,2,5
28,24,4
28,14,5
28,16,5
28,17,5
28,5,4
29,21,4
29,29,4
29,23,4
29,3,5
29,9,5
29,1,2
29,28,1
29,15,4
29,14,2
29,30,1
30,13,3
30,16,4
30,29,1
30,10,2
30,12,3
30,18,2
30,2,2
30,17,3
30,24,2
30,26,3
31,8,5
31,2,3
31,13,3
31,3,3
31,28,5
31,5,1
31,16,5
31,18,5
31,10,3
31,21,2
32,21,1
32,5,1
32,29,3
32,11,3
32,9,5
32,23,1
32,24,5
32,20,3
32,25,3
32,16,1
33,22,1
33,6,5
33,17,4
33,12,3
33,20,2
33,9,2
33,18,3
33,30,4
33,26,4
33,19,5
34,26,5
34,30,5
34,4,2
34,11,5
34,15,3
34,19,2
34,29,5
34,18,2
34,7,4
34,13,1
35,3,1
35,11,3
35,15,5
35,19,4
35,16,3
35,18,2
35,20,5
35,4,5
35,14,3
35,28,3
36,10,3
36,29,2
36,16,1
36,26,3
36,6,3
36,28,2
36,14,5
36,21,4
36,12,4
36,9,3
37,21,2
37,4,1
37,26,5
37,11,2
37,28,2
37,18,1
37,9,2
37,14,5
37,29,2
37,13,5
38,15,1
38,17,5
38,29,2
38,6,1
38,27,5
38,4,2
38,11,4
38,28,2
38,5,3
38,13,2
39,21,4
39,8,2
39,11,5
39,30,1
39,22,1
39,24,5
39,26,1
39,6,1
39,1,1
39,5,4
40,16,5
40,22,5
40,10,1
40,18,1
40,30,3
40,15,4
40,9,2
40,1,1
40,19,5
40,3,3
41,22,1
41,16,5
41,30,3
41,12,3
41,7,2
41,27,4
41,20,3
41,1,5
41,26,2
41,21,2
42,27,3
42,7,5
42,14,1
42,25,5
42,9,2
42,12,4
42,4,3
42,10,4
42,22,5
42,15,3
43,6,3
43,3,2
43,8,1
43,5,2
43,27,4
43,17,4
43,15,5
43,24,5
43,9,4
43,1,4
44,9,2
44,16,2
44,5,5
44,2,4
44,8,1
44,23,3
44,24,5
44,6,1
44,21,5
44,7,5
45,7,1
45,18,1
45,10,4
45,25,2
45,8,4
45,26,3
45,19,4
45,28,1
45,1,1
45,13,5
46,10,3
46,24,5
46,2,1
46,16,5
46,5,2
46,11,2
46,25,3
46,29,5
46,6,1
46,9,1
